"t","source","name","pid","cpuSec","rssMb"
"2026-09-03T10:19:34.7996322+08:00","host","machine","0","27.7","0"
"2026-09-03T10:19:34.8542802+08:00","host","java","18412","111.015625","273"
"2026-09-03T10:19:34.8675220+08:00","host","java","22556","114.34375","239"
"2026-09-03T10:19:34.8675220+08:00","host","java","22664","109.921875","220"
"2026-09-03T10:19:34.8685414+08:00","host","java","25584","0.328125","10"
"2026-09-03T10:19:34.8685414+08:00","host","java","33636","5.65625","3"
"2026-09-03T10:19:34.8685414+08:00","host","java","37732","43","289"
"2026-09-03T10:19:34.8697722+08:00","host","java","38048","5.390625","2"
"2026-09-03T10:19:34.8697722+08:00","host","java","38656","72.890625","71"
"2026-09-03T10:19:34.8697722+08:00","host","java","40260","5.359375","3"
"2026-09-03T10:19:34.8705967+08:00","host","java","40644","5.03125","2"
"2026-09-03T10:19:34.8711073+08:00","host","java","43952","97.84375","253"
"2026-09-03T10:19:34.8726563+08:00","host","mysqld","5240","","1"
"2026-09-03T10:19:34.8750634+08:00","host","mysqld","6284","","71"
"2026-09-03T10:19:34.8760677+08:00","host","nginx","20152","4.390625","3"
"2026-09-03T10:19:34.8760677+08:00","host","nginx","40492","0.109375","3"
"2026-09-03T10:19:37.9115023+08:00","host","machine","0","15.7","0"
"2026-09-03T10:19:37.9305288+08:00","host","java","18412","111.25","276"
"2026-09-03T10:19:37.9305288+08:00","host","java","22556","114.359375","239"
"2026-09-03T10:19:37.9315303+08:00","host","java","22664","109.953125","220"
"2026-09-03T10:19:37.9315303+08:00","host","java","25584","0.328125","10"
"2026-09-03T10:19:37.9315303+08:00","host","java","33636","5.65625","3"
"2026-09-03T10:19:37.9315303+08:00","host","java","37732","43","289"
"2026-09-03T10:19:37.9315303+08:00","host","java","38048","5.390625","2"
"2026-09-03T10:19:37.9325309+08:00","host","java","38656","72.890625","71"
"2026-09-03T10:19:37.9325309+08:00","host","java","40260","5.359375","3"
"2026-09-03T10:19:37.9325309+08:00","host","java","40644","5.03125","2"
"2026-09-03T10:19:37.9325309+08:00","host","java","43952","97.859375","253"
"2026-09-03T10:19:37.9335296+08:00","host","mysqld","5240","","1"
"2026-09-03T10:19:37.9345280+08:00","host","mysqld","6284","","72"
"2026-09-03T10:19:37.9345280+08:00","host","nginx","20152","4.390625","3"
"2026-09-03T10:19:37.9345280+08:00","host","nginx","40492","0.109375","3"
"2026-09-03T10:19:40.9606062+08:00","host","machine","0","42","0"
"2026-09-03T10:19:40.9818988+08:00","host","java","18412","111.375","277"
"2026-09-03T10:19:40.9828976+08:00","host","java","22556","114.453125","240"
"2026-09-03T10:19:40.9828976+08:00","host","java","22664","109.96875","220"
"2026-09-03T10:19:40.9828976+08:00","host","java","25584","0.328125","10"
"2026-09-03T10:19:40.9828976+08:00","host","java","33636","5.65625","3"
"2026-09-03T10:19:40.9828976+08:00","host","java","37732","43","289"
"2026-09-03T10:19:40.9838970+08:00","host","java","38048","5.390625","2"
"2026-09-03T10:19:40.9838970+08:00","host","java","38656","72.921875","71"
"2026-09-03T10:19:40.9838970+08:00","host","java","40260","5.359375","3"
"2026-09-03T10:19:40.9838970+08:00","host","java","40644","5.03125","2"
"2026-09-03T10:19:40.9838970+08:00","host","java","43952","97.90625","254"
"2026-09-03T10:19:40.9848946+08:00","host","mysqld","5240","","1"
"2026-09-03T10:19:40.9858985+08:00","host","mysqld","6284","","72"
"2026-09-03T10:19:40.9858985+08:00","host","nginx","20152","4.390625","3"
"2026-09-03T10:19:40.9858985+08:00","host","nginx","40492","0.109375","3"
"2026-09-03T10:19:44.0017475+08:00","host","machine","0","16.1","0"
"2026-09-03T10:19:44.0127466+08:00","host","java","18412","111.484375","277"
"2026-09-03T10:19:44.0137477+08:00","host","java","22556","114.484375","240"
"2026-09-03T10:19:44.0137477+08:00","host","java","22664","110.09375","225"
"2026-09-03T10:19:44.0147523+08:00","host","java","25584","0.328125","10"
"2026-09-03T10:19:44.0147523+08:00","host","java","33636","5.65625","3"
"2026-09-03T10:19:44.0147523+08:00","host","java","37732","43","289"
"2026-09-03T10:19:44.0147523+08:00","host","java","38048","5.390625","2"
"2026-09-03T10:19:44.0147523+08:00","host","java","38656","72.921875","72"
"2026-09-03T10:19:44.0147523+08:00","host","java","40260","5.359375","3"
"2026-09-03T10:19:44.0147523+08:00","host","java","40644","5.03125","2"
"2026-09-03T10:19:44.0157479+08:00","host","java","43952","97.90625","254"
"2026-09-03T10:19:44.0167463+08:00","host","mysqld","5240","","1"
"2026-09-03T10:19:44.0177455+08:00","host","mysqld","6284","","72"
"2026-09-03T10:19:44.0177455+08:00","host","nginx","20152","4.390625","3"
"2026-09-03T10:19:44.0187469+08:00","host","nginx","40492","0.109375","3"
"2026-09-03T10:19:47.0456473+08:00","host","machine","0","27.9","0"
"2026-09-03T10:19:47.0577204+08:00","host","java","18412","111.53125","278"
"2026-09-03T10:19:47.0593432+08:00","host","java","22556","114.5","240"
"2026-09-03T10:19:47.0593432+08:00","host","java","22664","110.125","225"
"2026-09-03T10:19:47.0593432+08:00","host","java","25584","0.359375","10"
"2026-09-03T10:19:47.0593432+08:00","host","java","33636","5.671875","3"
"2026-09-03T10:19:47.0593432+08:00","host","java","37732","43","289"
"2026-09-03T10:19:47.0593432+08:00","host","java","38048","5.390625","2"
"2026-09-03T10:19:47.0593432+08:00","host","java","38656","72.921875","72"
"2026-09-03T10:19:47.0593432+08:00","host","java","40260","5.359375","3"
"2026-09-03T10:19:47.0593432+08:00","host","java","40644","5.03125","2"
"2026-09-03T10:19:47.0593432+08:00","host","java","43952","97.953125","255"
"2026-09-03T10:19:47.0593432+08:00","host","mysqld","5240","","1"
"2026-09-03T10:19:47.0610456+08:00","host","mysqld","6284","","72"
"2026-09-03T10:19:47.0620536+08:00","host","nginx","20152","4.390625","3"
"2026-09-03T10:19:47.0630536+08:00","host","nginx","40492","0.109375","3"
"2026-09-03T10:19:50.0833892+08:00","host","machine","0","20.9","0"
"2026-09-03T10:19:50.0930097+08:00","host","java","18412","111.578125","278"
"2026-09-03T10:19:50.0940113+08:00","host","java","22556","114.5625","241"
"2026-09-03T10:19:50.0950029+08:00","host","java","22664","110.171875","225"
"2026-09-03T10:19:50.0959990+08:00","host","java","25584","0.375","10"
"2026-09-03T10:19:50.0959990+08:00","host","java","33636","5.671875","3"
"2026-09-03T10:19:50.0959990+08:00","host","java","37732","43.015625","290"
"2026-09-03T10:19:50.0969974+08:00","host","java","38048","5.390625","2"
"2026-09-03T10:19:50.0969974+08:00","host","java","38656","72.9375","72"
"2026-09-03T10:19:50.0969974+08:00","host","java","40260","5.359375","3"
"2026-09-03T10:19:50.0969974+08:00","host","java","40644","5.03125","2"
"2026-09-03T10:19:50.0969974+08:00","host","java","43952","97.984375","255"
"2026-09-03T10:19:50.0979946+08:00","host","mysqld","5240","","1"
"2026-09-03T10:19:50.0989997+08:00","host","mysqld","6284","","72"
"2026-09-03T10:19:50.0989997+08:00","host","nginx","20152","4.390625","3"
"2026-09-03T10:19:50.0989997+08:00","host","nginx","40492","0.109375","3"
"2026-09-03T10:19:53.1173763+08:00","host","machine","0","35.6","0"
