"t","source","name","pid","cpuSec","rssMb"
"2026-09-03T10:11:09.6857525+08:00","host","machine","0","59.4","0"
"2026-09-03T10:11:09.7416047+08:00","host","java","18412","89.359375","251"
"2026-09-03T10:11:09.7544164+08:00","host","java","22556","94.953125","295"
"2026-09-03T10:11:09.7557766+08:00","host","java","22664","92.875","276"
"2026-09-03T10:11:09.7557766+08:00","host","java","33636","5.296875","6"
"2026-09-03T10:11:09.7557766+08:00","host","java","38048","5.15625","4"
"2026-09-03T10:11:09.7568392+08:00","host","java","38656","71.015625","53"
"2026-09-03T10:11:09.7568392+08:00","host","java","40260","4.9375","6"
"2026-09-03T10:11:09.7568392+08:00","host","java","40644","4.796875","3"
"2026-09-03T10:11:09.7568392+08:00","host","java","43952","86.359375","256"
"2026-09-03T10:11:09.7578278+08:00","host","mysqld","5240","","1"
"2026-09-03T10:11:09.7623535+08:00","host","mysqld","6284","","84"
"2026-09-03T10:11:09.7633854+08:00","host","nginx","20152","2.6875","4"
"2026-09-03T10:11:09.7643216+08:00","host","nginx","40492","0.109375","5"
"2026-09-03T10:11:12.7912709+08:00","host","machine","0","58.9","0"
"2026-09-03T10:11:12.8096966+08:00","host","java","18412","90.109375","263"
"2026-09-03T10:11:12.8096966+08:00","host","java","22556","95.34375","295"
"2026-09-03T10:11:12.8106940+08:00","host","java","22664","92.953125","276"
"2026-09-03T10:11:12.8106940+08:00","host","java","33636","5.3125","6"
"2026-09-03T10:11:12.8116984+08:00","host","java","38048","5.171875","4"
"2026-09-03T10:11:12.8116984+08:00","host","java","38656","71.046875","53"
"2026-09-03T10:11:12.8127016+08:00","host","java","40260","4.9375","6"
"2026-09-03T10:11:12.8127016+08:00","host","java","40644","4.796875","3"
"2026-09-03T10:11:12.8127016+08:00","host","java","43952","86.4375","256"
"2026-09-03T10:11:12.8146967+08:00","host","mysqld","5240","","1"
"2026-09-03T10:11:12.8156935+08:00","host","mysqld","6284","","84"
"2026-09-03T10:11:12.8156935+08:00","host","nginx","20152","2.75","4"
"2026-09-03T10:11:12.8166958+08:00","host","nginx","40492","0.109375","5"
"2026-09-03T10:11:15.8829270+08:00","host","machine","0","57.1","0"
"2026-09-03T10:11:15.9180314+08:00","host","java","18412","91.03125","268"
"2026-09-03T10:11:15.9200329+08:00","host","java","22556","95.78125","295"
"2026-09-03T10:11:15.9241521+08:00","host","java","22664","93.03125","276"
"2026-09-03T10:11:15.9261670+08:00","host","java","33636","5.3125","6"
"2026-09-03T10:11:15.9281658+08:00","host","java","38048","5.171875","4"
"2026-09-03T10:11:15.9291660+08:00","host","java","38656","71.0625","53"
"2026-09-03T10:11:15.9321563+08:00","host","java","40260","4.953125","6"
"2026-09-03T10:11:15.9331536+08:00","host","java","40644","4.796875","3"
"2026-09-03T10:11:15.9346800+08:00","host","java","43952","86.671875","256"
"2026-09-03T10:11:15.9405882+08:00","host","mysqld","5240","","1"
"2026-09-03T10:11:15.9421103+08:00","host","mysqld","6284","","84"
"2026-09-03T10:11:15.9461190+08:00","host","nginx","20152","2.796875","4"
"2026-09-03T10:11:15.9475202+08:00","host","nginx","40492","0.109375","5"
"2026-09-03T10:11:19.1499930+08:00","host","machine","0","66.4","0"
"2026-09-03T10:11:19.1752380+08:00","host","java","18412","93.328125","272"
"2026-09-03T10:11:19.1752380+08:00","host","java","22556","96.421875","295"
"2026-09-03T10:11:19.1762376+08:00","host","java","22664","93.578125","276"
"2026-09-03T10:11:19.1762376+08:00","host","java","33636","5.3125","6"
"2026-09-03T10:11:19.1774774+08:00","host","java","38048","5.171875","4"
"2026-09-03T10:11:19.1774774+08:00","host","java","38656","71.0625","53"
"2026-09-03T10:11:19.1788299+08:00","host","java","40260","4.953125","6"
"2026-09-03T10:11:19.1788299+08:00","host","java","40644","4.796875","3"
"2026-09-03T10:11:19.1795454+08:00","host","java","43952","86.84375","256"
"2026-09-03T10:11:19.1820819+08:00","host","mysqld","5240","","1"
"2026-09-03T10:11:19.1844884+08:00","host","mysqld","6284","","84"
"2026-09-03T10:11:19.1857018+08:00","host","nginx","20152","2.890625","4"
"2026-09-03T10:11:19.1869249+08:00","host","nginx","40492","0.109375","5"
"2026-09-03T10:11:22.2153004+08:00","host","machine","0","41.5","0"
"2026-09-03T10:11:22.2455964+08:00","host","java","18412","94.03125","273"
"2026-09-03T10:11:22.2466067+08:00","host","java","22556","96.71875","295"
"2026-09-03T10:11:22.2466067+08:00","host","java","22664","93.625","276"
"2026-09-03T10:11:22.2476064+08:00","host","java","33636","5.3125","6"
"2026-09-03T10:11:22.2476064+08:00","host","java","38048","5.171875","4"
"2026-09-03T10:11:22.2476064+08:00","host","java","38656","71.078125","53"
"2026-09-03T10:11:22.2476064+08:00","host","java","40260","4.953125","6"
"2026-09-03T10:11:22.2486093+08:00","host","java","40644","4.796875","3"
"2026-09-03T10:11:22.2491227+08:00","host","java","43952","86.921875","256"
"2026-09-03T10:11:22.2531410+08:00","host","mysqld","5240","","1"
"2026-09-03T10:11:22.2551578+08:00","host","mysqld","6284","","84"
"2026-09-03T10:11:22.2565970+08:00","host","nginx","20152","2.953125","4"
"2026-09-03T10:11:22.2576278+08:00","host","nginx","40492","0.109375","5"
"2026-09-03T10:11:25.2770419+08:00","host","machine","0","26.3","0"
"2026-09-03T10:11:25.3126931+08:00","host","java","18412","94.796875","274"
"2026-09-03T10:11:25.3126931+08:00","host","java","22556","97","295"
"2026-09-03T10:11:25.3133211+08:00","host","java","22664","93.890625","276"
"2026-09-03T10:11:25.3138695+08:00","host","java","33636","5.3125","6"
"2026-09-03T10:11:25.3144911+08:00","host","java","38048","5.171875","4"
"2026-09-03T10:11:25.3144911+08:00","host","java","38656","71.078125","53"
"2026-09-03T10:11:25.3155112+08:00","host","java","40260","4.953125","6"
"2026-09-03T10:11:25.3165073+08:00","host","java","40644","4.796875","3"
"2026-09-03T10:11:25.3165073+08:00","host","java","43952","87.03125","256"
"2026-09-03T10:11:25.3185098+08:00","host","mysqld","5240","","1"
"2026-09-03T10:11:25.3205057+08:00","host","mysqld","6284","","84"
"2026-09-03T10:11:25.3215100+08:00","host","nginx","20152","3","4"
"2026-09-03T10:11:25.3225048+08:00","host","nginx","40492","0.109375","5"
