"t","source","name","cpu","rssMb"
"2026-09-03T10:25:45.9206872+08:00","docker","clas-mono-redis","0.31","3.9"
"2026-09-03T10:25:45.9251073+08:00","docker","clas-mono-mysql","2.49","525.4"
"2026-09-03T10:25:45.9272223+08:00","docker","opengaussdb","2.16","533"
"2026-09-03T10:25:45.9282375+08:00","docker","clas-mono-redis","0.3","4.1"
"2026-09-03T10:25:45.9295692+08:00","docker","clas-mono-mysql","3.1","525.2"
"2026-09-03T10:25:45.9303417+08:00","docker","opengaussdb","1.6","533"
"2026-09-03T10:25:45.9313832+08:00","docker","clas-mono-redis","0.3","3.9"
"2026-09-03T10:25:45.9323961+08:00","docker","clas-mono-mysql","2.4","526"
"2026-09-03T10:25:45.9333998+08:00","docker","opengaussdb","1.86","533"
"2026-09-03T10:25:45.9333998+08:00","docker","clas-mono-redis","0.3","3.9"
"2026-09-03T10:25:45.9353477+08:00","docker","clas-mono-mysql","3.22","524.5"
"2026-09-03T10:25:45.9363606+08:00","docker","opengaussdb","1.74","533"
"2026-09-03T10:25:45.9373763+08:00","docker","clas-mono-redis","0.29","3.9"
"2026-09-03T10:25:45.9383879+08:00","docker","clas-mono-mysql","2.69","525.7"
"2026-09-03T10:25:45.9383879+08:00","docker","opengaussdb","1.67","533.3"
"2026-09-03T10:25:45.9383879+08:00","docker","clas-mono-redis","0.4","3.9"
"2026-09-03T10:25:45.9396381+08:00","docker","clas-mono-mysql","5.02","525"
"2026-09-03T10:25:45.9406546+08:00","docker","opengaussdb","2.8","533.3"
"2026-09-03T10:25:45.9406546+08:00","docker","clas-mono-redis","0.37","3.9"
"2026-09-03T10:25:45.9406546+08:00","docker","clas-mono-mysql","4.68","525.5"
"2026-09-03T10:25:45.9416573+08:00","docker","opengaussdb","2.84","533.5"
"2026-09-03T10:25:45.9416573+08:00","docker","clas-mono-redis","0.44","3.9"
"2026-09-03T10:25:45.9416573+08:00","docker","clas-mono-mysql","5.71","525.8"
"2026-09-03T10:25:45.9426583+08:00","docker","opengaussdb","3.33","533.5"
