"t","source","name","cpu","rssMb"
"2026-09-03T10:24:45.2324329+08:00","docker","clas-mono-redis","0.29","4.1"
"2026-09-03T10:24:45.2364496+08:00","docker","clas-mono-mysql","1.14","525"
"2026-09-03T10:24:45.2374481+08:00","docker","opengaussdb","1.78","533.2"
"2026-09-03T10:24:45.2404518+08:00","docker","clas-mono-redis","0.3","3.9"
"2026-09-03T10:24:45.2424531+08:00","docker","clas-mono-mysql","2.17","524.1"
"2026-09-03T10:24:45.2424531+08:00","docker","opengaussdb","1.86","533.2"
"2026-09-03T10:24:45.2446764+08:00","docker","clas-mono-redis","0.3","3.9"
"2026-09-03T10:24:45.2446764+08:00","docker","clas-mono-mysql","1.44","524.8"
"2026-09-03T10:24:45.2456757+08:00","docker","opengaussdb","1.67","533.2"
"2026-09-03T10:24:45.2466754+08:00","docker","clas-mono-redis","0.3","3.9"
"2026-09-03T10:24:45.2476994+08:00","docker","clas-mono-mysql","1.53","525.3"
"2026-09-03T10:24:45.2486986+08:00","docker","opengaussdb","1.61","533.2"
"2026-09-03T10:24:45.2496980+08:00","docker","clas-mono-redis","0.28","4.1"
"2026-09-03T10:24:45.2506990+08:00","docker","clas-mono-mysql","1.91","524.1"
"2026-09-03T10:24:45.2506990+08:00","docker","opengaussdb","1.38","533.2"
