"t","source","name","pid","cpuSec","rssMb"
"2026-09-03T10:06:39.8036373+08:00","host","machine","0","12.9","0"
"2026-09-03T10:06:39.8410777+08:00","host","java","18412","74.625","257"
"2026-09-03T10:06:39.8505916+08:00","host","java","22556","80.453125","279"
"2026-09-03T10:06:39.8505916+08:00","host","java","22664","82.9375","252"
"2026-09-03T10:06:39.8513189+08:00","host","java","33636","5.0625","6"
"2026-09-03T10:06:39.8513189+08:00","host","java","38048","4.953125","6"
"2026-09-03T10:06:39.8513189+08:00","host","java","38656","70.515625","54"
"2026-09-03T10:06:39.8513189+08:00","host","java","40260","4.796875","6"
"2026-09-03T10:06:39.8518274+08:00","host","java","40644","4.609375","6"
"2026-09-03T10:06:39.8518274+08:00","host","java","43952","71.78125","244"
"2026-09-03T10:06:39.8518274+08:00","host","mysqld","5240","","1"
"2026-09-03T10:06:39.8548353+08:00","host","mysqld","6284","","81"
"2026-09-03T10:06:39.8548353+08:00","host","nginx","20152","1.359375","7"
"2026-09-03T10:06:39.8548353+08:00","host","nginx","40492","0.109375","5"
"2026-09-03T10:06:42.8783868+08:00","host","machine","0","17","0"
"2026-09-03T10:06:42.8902424+08:00","host","java","18412","74.953125","227"
"2026-09-03T10:06:42.8902424+08:00","host","java","22556","80.578125","279"
"2026-09-03T10:06:42.8902424+08:00","host","java","22664","83.1875","258"
"2026-09-03T10:06:42.8902424+08:00","host","java","33636","5.0625","6"
"2026-09-03T10:06:42.8902424+08:00","host","java","38048","4.953125","6"
"2026-09-03T10:06:42.8902424+08:00","host","java","38656","70.515625","54"
"2026-09-03T10:06:42.8912259+08:00","host","java","40260","4.796875","6"
"2026-09-03T10:06:42.8912259+08:00","host","java","40644","4.609375","6"
"2026-09-03T10:06:42.8915392+08:00","host","java","43952","71.9375","248"
"2026-09-03T10:06:42.8920449+08:00","host","mysqld","5240","","1"
"2026-09-03T10:06:42.8920449+08:00","host","mysqld","6284","","81"
"2026-09-03T10:06:42.8920449+08:00","host","nginx","20152","1.359375","7"
"2026-09-03T10:06:42.8920449+08:00","host","nginx","40492","0.109375","5"
"2026-09-03T10:06:45.9117067+08:00","host","machine","0","23.1","0"
"2026-09-03T10:06:45.9303539+08:00","host","java","18412","75.015625","229"
"2026-09-03T10:06:45.9303539+08:00","host","java","22556","80.671875","279"
"2026-09-03T10:06:45.9303539+08:00","host","java","22664","83.734375","266"
"2026-09-03T10:06:45.9303539+08:00","host","java","33636","5.0625","6"
"2026-09-03T10:06:45.9303539+08:00","host","java","38048","4.96875","6"
"2026-09-03T10:06:45.9303539+08:00","host","java","38656","70.53125","54"
"2026-09-03T10:06:45.9303539+08:00","host","java","40260","4.796875","6"
"2026-09-03T10:06:45.9303539+08:00","host","java","40644","4.609375","6"
"2026-09-03T10:06:45.9303539+08:00","host","java","43952","72.015625","248"
"2026-09-03T10:06:45.9316813+08:00","host","mysqld","5240","","1"
"2026-09-03T10:06:45.9326923+08:00","host","mysqld","6284","","81"
"2026-09-03T10:06:45.9326923+08:00","host","nginx","20152","1.359375","7"
"2026-09-03T10:06:45.9326923+08:00","host","nginx","40492","0.109375","5"
"2026-09-03T10:06:48.9579188+08:00","host","machine","0","25.4","0"
"2026-09-03T10:06:48.9669237+08:00","host","java","18412","75.046875","232"
"2026-09-03T10:06:48.9669237+08:00","host","java","22556","80.859375","279"
"2026-09-03T10:06:48.9669237+08:00","host","java","22664","83.953125","266"
"2026-09-03T10:06:48.9669237+08:00","host","java","33636","5.0625","6"
"2026-09-03T10:06:48.9669237+08:00","host","java","38048","4.96875","6"
"2026-09-03T10:06:48.9669237+08:00","host","java","38656","70.546875","54"
"2026-09-03T10:06:48.9679249+08:00","host","java","40260","4.796875","6"
"2026-09-03T10:06:48.9679249+08:00","host","java","40644","4.609375","6"
"2026-09-03T10:06:48.9689261+08:00","host","java","43952","72.078125","251"
"2026-09-03T10:06:48.9689261+08:00","host","mysqld","5240","","1"
"2026-09-03T10:06:48.9689261+08:00","host","mysqld","6284","","81"
"2026-09-03T10:06:48.9699235+08:00","host","nginx","20152","1.359375","7"
"2026-09-03T10:06:48.9699235+08:00","host","nginx","40492","0.109375","5"
"2026-09-03T10:06:51.9885246+08:00","host","machine","0","39.3","0"
