"t","source","name","pid","cpuSec","rssMb"
"2026-09-03T10:08:28.4894047+08:00","host","machine","0","17.8","0"
"2026-09-03T10:08:28.5277532+08:00","host","java","18412","79.0625","271"
"2026-09-03T10:08:28.5357510+08:00","host","java","22556","87.109375","292"
"2026-09-03T10:08:28.5357510+08:00","host","java","22664","86.515625","241"
"2026-09-03T10:08:28.5367508+08:00","host","java","33636","5.125","6"
"2026-09-03T10:08:28.5367508+08:00","host","java","38048","5.015625","6"
"2026-09-03T10:08:28.5367508+08:00","host","java","38656","70.703125","54"
"2026-09-03T10:08:28.5367508+08:00","host","java","40260","4.828125","6"
"2026-09-03T10:08:28.5367508+08:00","host","java","40644","4.65625","6"
"2026-09-03T10:08:28.5367508+08:00","host","java","43952","76.546875","226"
"2026-09-03T10:08:28.5377510+08:00","host","mysqld","5240","","1"
"2026-09-03T10:08:28.5397540+08:00","host","mysqld","6284","","83"
"2026-09-03T10:08:28.5397540+08:00","host","nginx","20152","1.796875","7"
"2026-09-03T10:08:28.5407530+08:00","host","nginx","40492","0.109375","5"
"2026-09-03T10:08:31.5693953+08:00","host","machine","0","11.4","0"
"2026-09-03T10:08:31.5814359+08:00","host","java","18412","79.40625","273"
"2026-09-03T10:08:31.5814359+08:00","host","java","22556","87.25","292"
"2026-09-03T10:08:31.5814359+08:00","host","java","22664","86.515625","241"
"2026-09-03T10:08:31.5814359+08:00","host","java","33636","5.125","6"
"2026-09-03T10:08:31.5814359+08:00","host","java","38048","5.015625","6"
"2026-09-03T10:08:31.5814359+08:00","host","java","38656","70.703125","54"
"2026-09-03T10:08:31.5814359+08:00","host","java","40260","4.828125","6"
"2026-09-03T10:08:31.5823989+08:00","host","java","40644","4.65625","6"
"2026-09-03T10:08:31.5823989+08:00","host","java","43952","76.703125","236"
"2026-09-03T10:08:31.5823989+08:00","host","mysqld","5240","","1"
"2026-09-03T10:08:31.5823989+08:00","host","mysqld","6284","","83"
"2026-09-03T10:08:31.5834119+08:00","host","nginx","20152","1.828125","7"
"2026-09-03T10:08:31.5834119+08:00","host","nginx","40492","0.109375","5"
"2026-09-03T10:08:34.6039210+08:00","host","machine","0","25.2","0"
"2026-09-03T10:08:34.6179277+08:00","host","java","18412","79.640625","274"
