"t","source","name","pid","cpuSec","rssMb"
"2026-09-03T10:12:19.7376578+08:00","host","java","18412","98.953125","281"
"2026-09-03T10:12:19.7384305+08:00","host","java","22556","100.703125","286"
"2026-09-03T10:12:19.7384305+08:00","host","java","22664","103.078125","264"
"2026-09-03T10:12:19.7384305+08:00","host","java","33636","5.359375","6"
"2026-09-03T10:12:19.7384305+08:00","host","java","38048","5.203125","4"
"2026-09-03T10:12:19.7384305+08:00","host","java","38656","71.171875","54"
"2026-09-03T10:12:19.7384305+08:00","host","java","40260","5.046875","6"
"2026-09-03T10:12:19.7384305+08:00","host","java","40644","4.8125","3"
"2026-09-03T10:12:19.7384305+08:00","host","java","43952","89.421875","245"
"2026-09-03T10:12:19.7477038+08:00","host","mysqld","5240","","1"
"2026-09-03T10:12:19.7494795+08:00","host","mysqld","6284","","84"
"2026-09-03T10:12:19.7505371+08:00","host","nginx","20152","3.515625","4"
"2026-09-03T10:12:19.7510771+08:00","host","nginx","40492","0.109375","5"
"2026-09-03T10:12:22.7887041+08:00","host","machine","0","31.3","0"
"2026-09-03T10:12:22.8198105+08:00","host","java","18412","99.203125","283"
"2026-09-03T10:12:22.8223840+08:00","host","java","22556","100.796875","286"
"2026-09-03T10:12:22.8223840+08:00","host","java","22664","104.03125","265"
"2026-09-03T10:12:22.8223840+08:00","host","java","33636","5.375","6"
"2026-09-03T10:12:22.8223840+08:00","host","java","38048","5.203125","4"
"2026-09-03T10:12:22.8223840+08:00","host","java","38656","71.171875","54"
"2026-09-03T10:12:22.8223840+08:00","host","java","40260","5.046875","6"
"2026-09-03T10:12:22.8223840+08:00","host","java","40644","4.8125","3"
"2026-09-03T10:12:22.8223840+08:00","host","java","43952","89.546875","245"
"2026-09-03T10:12:22.8223840+08:00","host","mysqld","5240","","1"
"2026-09-03T10:12:22.8223840+08:00","host","mysqld","6284","","84"
"2026-09-03T10:12:22.8223840+08:00","host","nginx","20152","3.515625","4"
"2026-09-03T10:12:22.8223840+08:00","host","nginx","40492","0.109375","5"
"2026-09-03T10:12:25.8720523+08:00","host","machine","0","21.4","0"
"2026-09-03T10:12:25.8909001+08:00","host","java","18412","99.3125","283"
"2026-09-03T10:12:25.8909001+08:00","host","java","22556","101.03125","286"
"2026-09-03T10:12:25.8909001+08:00","host","java","22664","105.1875","265"
"2026-09-03T10:12:25.8909001+08:00","host","java","33636","5.390625","6"
"2026-09-03T10:12:25.8909001+08:00","host","java","38048","5.203125","4"
"2026-09-03T10:12:25.8909001+08:00","host","java","38656","71.1875","54"
"2026-09-03T10:12:25.8909001+08:00","host","java","40260","5.046875","6"
"2026-09-03T10:12:25.8909001+08:00","host","java","40644","4.8125","3"
"2026-09-03T10:12:25.8988236+08:00","host","java","43952","89.609375","245"
"2026-09-03T10:12:25.9006010+08:00","host","mysqld","5240","","1"
"2026-09-03T10:12:25.9006010+08:00","host","mysqld","6284","","84"
"2026-09-03T10:12:25.9023569+08:00","host","nginx","20152","3.546875","4"
"2026-09-03T10:12:25.9023569+08:00","host","nginx","40492","0.109375","5"
"2026-09-03T10:12:28.9211437+08:00","host","machine","0","28.4","0"
"2026-09-03T10:12:28.9379584+08:00","host","java","18412","99.421875","283"
"2026-09-03T10:12:28.9379584+08:00","host","java","22556","101.078125","286"
"2026-09-03T10:12:28.9379584+08:00","host","java","22664","105.4375","265"
"2026-09-03T10:12:28.9379584+08:00","host","java","33636","5.40625","6"
"2026-09-03T10:12:28.9379584+08:00","host","java","38048","5.203125","4"
"2026-09-03T10:12:28.9379584+08:00","host","java","38656","71.1875","54"
"2026-09-03T10:12:28.9379584+08:00","host","java","40260","5.046875","6"
"2026-09-03T10:12:28.9379584+08:00","host","java","40644","4.8125","3"
"2026-09-03T10:12:28.9379584+08:00","host","java","43952","89.65625","245"
"2026-09-03T10:12:28.9379584+08:00","host","mysqld","5240","","1"
"2026-09-03T10:12:28.9379584+08:00","host","mysqld","6284","","84"
"2026-09-03T10:12:28.9379584+08:00","host","nginx","20152","3.546875","4"
"2026-09-03T10:12:28.9379584+08:00","host","nginx","40492","0.109375","5"
