"t","source","name","cpu","rssMb"
"2026-09-03T10:26:47.9867939+08:00","docker","clas-mono-redis","0.35","4.1"
"2026-09-03T10:26:47.9894681+08:00","docker","clas-mono-mysql","2.89","524.3"
"2026-09-03T10:26:47.9904685+08:00","docker","opengaussdb","2.19","533.3"
"2026-09-03T10:26:47.9904685+08:00","docker","clas-mono-redis","0.4","3.9"
"2026-09-03T10:26:47.9904685+08:00","docker","clas-mono-mysql","2.59","525.1"
"2026-09-03T10:26:47.9904685+08:00","docker","opengaussdb","2.54","533.6"
"2026-09-03T10:26:47.9904685+08:00","docker","clas-mono-redis","0.34","3.9"
"2026-09-03T10:26:47.9904685+08:00","docker","clas-mono-mysql","2.07","524.6"
"2026-09-03T10:26:47.9915120+08:00","docker","opengaussdb","2.87","533.6"
"2026-09-03T10:26:47.9915120+08:00","docker","clas-mono-redis","0.38","4.1"
"2026-09-03T10:26:47.9915120+08:00","docker","clas-mono-mysql","2.35","525"
"2026-09-03T10:26:47.9915120+08:00","docker","opengaussdb","3.02","533.3"
"2026-09-03T10:26:47.9915120+08:00","docker","clas-mono-redis","0.41","3.9"
"2026-09-03T10:26:47.9924672+08:00","docker","clas-mono-mysql","2.94","525.2"
"2026-09-03T10:26:47.9924672+08:00","docker","opengaussdb","3.93","533.6"
"2026-09-03T10:26:47.9924672+08:00","docker","clas-mono-redis","0.37","3.9"
"2026-09-03T10:26:47.9924672+08:00","docker","clas-mono-mysql","2.55","525.5"
"2026-09-03T10:26:47.9924672+08:00","docker","opengaussdb","2.7","533.4"
"2026-09-03T10:26:47.9924672+08:00","docker","clas-mono-redis","0.41","4.1"
"2026-09-03T10:26:47.9934729+08:00","docker","clas-mono-mysql","2.95","525.6"
"2026-09-03T10:26:47.9934729+08:00","docker","opengaussdb","3.65","533.4"
"2026-09-03T10:26:47.9934729+08:00","docker","clas-mono-redis","0.39","4.1"
"2026-09-03T10:26:47.9934729+08:00","docker","clas-mono-mysql","2.66","525.6"
"2026-09-03T10:26:47.9934729+08:00","docker","opengaussdb","3.8","533.6"
